P0,xc,beta,alpha_m_P0,alpha_m_xc,alpha_m_beta,alpha_z_P0,alpha_z_xc,alpha_z_beta
15.852940274737776,0.497,4.8970002718269825,0.154,-0.00865,0.0393,-0.758,0.731,0.415
33.13823707243427,0.497,4.021853300482035,0.154,-0.00865,0.0393,-0.758,0.731,0.415
20.202449969165023,0.497,4.520231690537184,0.154,-0.00865,0.0393,-0.758,0.731,0.415
2.9518417370878156,0.497,3.526126131545752,0.154,-0.00865,0.0393,-0.758,0.731,0.415
9.566231847014278,0.497,4.593073843717574,0.154,-0.00865,0.0393,-0.758,0.731,0.415
22.751191170476375,0.497,3.8878620225191116,0.154,-0.00865,0.0393,-0.758,0.731,0.415
26.516995871122923,0.497,5.075220541041344,0.154,-0.00865,0.0393,-0.758,0.731,0.415
13.311050164811313,0.497,4.278211081903428,0.154,-0.00865,0.0393,-0.758,0.731,0.415
10.164700009394437,0.497,4.3764609466306865,0.154,-0.00865,0.0393,-0.758,0.731,0.415
29.534091754779215,0.497,3.6713286725990475,0.154,-0.00865,0.0393,-0.758,0.731,0.415
26.17691354723647,0.497,4.856934972256422,0.154,-0.00865,0.0393,-0.758,0.731,0.415
6.778825999274849,0.497,4.060058160871267,0.154,-0.00865,0.0393,-0.758,0.731,0.415
4.229960515126586,0.497,5.113744160514324,0.154,-0.00865,0.0393,-0.758,0.731,0.415
19.562647720146924,0.497,4.238676736336202,0.154,-0.00865,0.0393,-0.758,0.731,0.415
32.07585758186877,0.497,4.738595143854618,0.154,-0.00865,0.0393,-0.758,0.731,0.415
16.7860654935427,0.497,3.7446222326159475,0.154,-0.00865,0.0393,-0.758,0.731,0.415
17.492188505176454,0.497,4.689559844657778,0.154,-0.00865,0.0393,-0.758,0.731,0.415
30.73343047648668,0.497,3.794134153649211,0.154,-0.00865,0.0393,-0.758,0.731,0.415
18.8534173948504,0.497,5.169144438710063,0.154,-0.00865,0.0393,-0.758,0.731,0.415
5.5754944486916065,0.497,4.181947660055012,0.154,-0.00865,0.0393,-0.758,0.731,0.415
7.107098115980625,0.497,4.800614573433995,0.154,-0.00865,0.0393,-0.758,0.731,0.415
24.448681445363906,0.497,4.115905282571911,0.154,-0.00865,0.0393,-0.758,0.731,0.415
29.210666425973173,0.497,4.426408095415681,0.154,-0.00865,0.0393,-0.758,0.731,0.415
11.888084837887437,0.497,3.622713666614145,0.154,-0.00865,0.0393,-0.758,0.731,0.415
12.601478061713278,0.497,5.018948679473251,0.154,-0.00865,0.0393,-0.758,0.731,0.415
27.862933723907915,0.497,4.334106740858406,0.154,-0.00865,0.0393,-0.758,0.731,0.415
23.45790452558547,0.497,4.6429633285850285,0.154,-0.00865,0.0393,-0.758,0.731,0.415
8.223152256738395,0.497,3.8391893526166676,0.154,-0.00865,0.0393,-0.758,0.731,0.415
2.6280124890618026,0.497,4.47114453529939,0.154,-0.00865,0.0393,-0.758,0.731,0.415
21.926176575459536,0.497,3.575586196538061,0.154,-0.00865,0.0393,-0.758,0.731,0.415
33.46716167403385,0.497,4.952454895153641,0.154,-0.00865,0.0393,-0.758,0.731,0.415
14.12411782938987,0.497,3.965178569331765,0.154,-0.00865,0.0393,-0.758,0.731,0.415
14.627228923160583,0.497,4.551215713899582,0.154,-0.00865,0.0393,-0.758,0.731,0.415
33.9821436599642,0.497,3.4959381761960686,0.154,-0.00865,0.0393,-0.758,0.731,0.415
21.4589814616926,0.497,4.927187760472298,0.154,-0.00865,0.0393,-0.758,0.731,0.415
2.0771147658675906,0.497,3.990868810415268,0.154,-0.00865,0.0393,-0.758,0.731,0.415
8.690502845421433,0.497,5.0986116213910275,0.154,-0.00865,0.0393,-0.758,0.731,0.415
24.008709158021954,0.497,4.2540239335410295,0.154,-0.00865,0.0393,-0.758,0.731,0.415
27.359915963634847,0.497,4.617261458784341,0.154,-0.00865,0.0393,-0.758,0.731,0.415
12.08634084360674,0.497,3.8644714088737966,0.154,-0.00865,0.0393,-0.758,0.731,0.415
11.388855883590876,0.497,4.8802724334597585,0.154,-0.00865,0.0393,-0.758,0.731,0.415
28.69174064463004,0.497,4.035817600786686,0.154,-0.00865,0.0393,-0.758,0.731,0.415
24.91994512286037,0.497,4.400701143722981,0.154,-0.00865,0.0393,-0.758,0.731,0.415
7.6539899023436,0.497,3.647990848403424,0.154,-0.00865,0.0393,-0.758,0.731,0.415
5.104137923177332,0.497,4.769632578939199,0.154,-0.00865,0.0393,-0.758,0.731,0.415
18.30668132614344,0.497,3.714487896412611,0.154,-0.00865,0.0393,-0.758,0.731,0.415
31.232504441346972,0.497,5.1438788597099485,0.154,-0.00865,0.0393,-0.758,0.731,0.415
18.011207862757143,0.497,4.2076396642439065,0.154,-0.00865,0.0393,-0.758,0.731,0.415
16.298798519559202,0.497,5.193384609874338,0.154,-0.00865,0.0393,-0.758,0.731,0.415
31.545031476151195,0.497,4.1586098099313675,0.154,-0.00865,0.0393,-0.758,0.731,0.415
20.01399483028799,0.497,4.712897331789136,0.154,-0.00865,0.0393,-0.758,0.731,0.415
4.7967062419466675,0.497,3.76989361949265,0.154,-0.00865,0.0393,-0.758,0.731,0.415
6.32732341421768,0.497,4.456542820539325,0.154,-0.00865,0.0393,-0.758,0.731,0.415
25.610260911174116,0.497,3.5916766204498707,0.154,-0.00865,0.0393,-0.758,0.731,0.415
30.02126539526507,0.497,4.8316519825905555,0.154,-0.00865,0.0393,-0.758,0.731,0.415
10.695681347288192,0.497,4.085770920440554,0.154,-0.00865,0.0393,-0.758,0.731,0.415
13.794306832645088,0.497,4.673150843158364,0.154,-0.00865,0.0393,-0.758,0.731,0.415
27.05189393892884,0.497,3.8082048884779214,0.154,-0.00865,0.0393,-0.758,0.731,0.415
22.29589589560404,0.497,5.049932676907629,0.154,-0.00865,0.0393,-0.758,0.731,0.415
9.003371658027172,0.497,4.303918759580702,0.154,-0.00865,0.0393,-0.758,0.731,0.415
3.40722985997796,0.497,4.9766424842923875,0.154,-0.00865,0.0393,-0.758,0.731,0.415
20.765154440496115,0.497,3.9417879297584295,0.154,-0.00865,0.0393,-0.758,0.731,0.415
32.65513539403677,0.497,4.4945356415770945,0.154,-0.00865,0.0393,-0.758,0.731,0.415
15.3179486306943,0.497,3.551399074103683,0.154,-0.00865,0.0393,-0.758,0.731,0.415
15.098579835314304,0.497,4.607261191438884,0.154,-0.00865,0.0393,-0.758,0.731,0.415
32.36540309377015,0.497,3.8749472252838313,0.154,-0.00865,0.0393,-0.758,0.731,0.415
20.99149885283783,0.497,5.088531725853681,0.154,-0.00865,0.0393,-0.758,0.731,0.415
3.689987028762698,0.497,4.264473222345114,0.154,-0.00865,0.0393,-0.758,0.731,0.415
9.293096433356403,0.497,4.937100705485791,0.154,-0.00865,0.0393,-0.758,0.731,0.415
22.51525716604665,0.497,3.980476589184254,0.154,-0.00865,0.0393,-0.758,0.731,0.415
26.769144780561327,0.497,4.561155180037021,0.154,-0.00865,0.0393,-0.758,0.731,0.415
13.567970430720598,0.497,3.485625576674938,0.154,-0.00865,0.0393,-0.758,0.731,0.415
10.921746123246848,0.497,5.153926004916429,0.154,-0.00865,0.0393,-0.758,0.731,0.415
30.304240059014408,0.497,4.197222341448068,0.154,-0.00865,0.0393,-0.758,0.731,0.415
25.391171752177176,0.497,4.779653151165694,0.154,-0.00865,0.0393,-0.758,0.731,0.415
6.037373618986457,0.497,3.7039909000508486,0.154,-0.00865,0.0393,-0.758,0.731,0.415
4.513739588614553,0.497,4.390729705095291,0.154,-0.00865,0.0393,-0.758,0.731,0.415
19.787938064746555,0.497,3.6583361917734147,0.154,-0.00865,0.0393,-0.758,0.731,0.415
31.834973746445026,0.497,4.870380674879998,0.154,-0.00865,0.0393,-0.758,0.731,0.415
16.51788015361875,0.497,4.0461895236186685,0.154,-0.00865,0.0393,-0.758,0.731,0.415
17.720275213606655,0.497,4.814489229228347,0.154,-0.00865,0.0393,-0.758,0.731,0.415
31.014413186144083,0.497,4.1024539827369155,0.154,-0.00865,0.0393,-0.758,0.731,0.415
18.588649832941588,0.497,4.439406588301062,0.154,-0.00865,0.0393,-0.758,0.731,0.415
5.331192835252732,0.497,3.6084393044561147,0.154,-0.00865,0.0393,-0.758,0.731,0.415
7.872088682483881,0.497,4.730197195764631,0.154,-0.00865,0.0393,-0.758,0.731,0.415
25.210885296948252,0.497,3.7530705491267145,0.154,-0.00865,0.0393,-0.758,0.731,0.415
28.46467772213742,0.497,5.210604845657945,0.154,-0.00865,0.0393,-0.758,0.731,0.415
11.106879366375505,0.497,4.141760211959481,0.154,-0.00865,0.0393,-0.758,0.731,0.415
12.368091855440289,0.497,4.511650687381625,0.154,-0.00865,0.0393,-0.758,0.731,0.415
27.587250512093302,0.497,3.5346566884964705,0.154,-0.00865,0.0393,-0.758,0.731,0.415
23.717994003836065,0.497,4.993837210144847,0.154,-0.00865,0.0393,-0.758,0.731,0.415
8.472131953835486,0.497,3.9250721236132087,0.154,-0.00865,0.0393,-0.758,0.731,0.415
1.8497722069919107,0.497,5.032692136242986,0.154,-0.00865,0.0393,-0.758,0.731,0.415
21.177222439441827,0.497,4.320789537504315,0.154,-0.00865,0.0393,-0.758,0.731,0.415
34.200522076487545,0.497,4.655883729513734,0.154,-0.00865,0.0393,-0.758,0.731,0.415
14.917951602283866,0.497,3.824995992835611,0.154,-0.00865,0.0393,-0.758,0.731,0.415
14.35117686804384,0.497,5.058397311866283,0.154,-0.00865,0.0393,-0.758,0.731,0.415
33.749142075087875,0.497,4.295510787069797,0.154,-0.00865,0.0393,-0.758,0.731,0.415
21.70808167915791,0.497,4.576224093418569,0.154,-0.00865,0.0393,-0.758,0.731,0.415
2.337068431135267,0.497,3.9050821059755982,0.154,-0.00865,0.0393,-0.758,0.731,0.415
7.941179866101592,0.497,4.536914490312338,0.154,-0.00865,0.0393,-0.758,0.731,0.415
23.230853497348722,0.497,3.508963115662336,0.154,-0.00865,0.0393,-0.758,0.731,0.415
28.153870256897058,0.497,4.913762699794024,0.154,-0.00865,0.0393,-0.758,0.731,0.415
12.819565433077514,0.497,4.0047168122045695,0.154,-0.00865,0.0393,-0.758,0.731,0.415
11.669710305202752,0.497,4.755466080587357,0.154,-0.00865,0.0393,-0.758,0.731,0.415
28.919939863011237,0.497,3.72738185076043,0.154,-0.00865,0.0393,-0.758,0.731,0.415
24.67602012040093,0.497,5.130535417199135,0.154,-0.00865,0.0393,-0.758,0.731,0.415
7.388861022070049,0.497,4.221409775018692,0.154,-0.00865,0.0393,-0.758,0.731,0.415
5.866213486716151,0.497,4.840192849170417,0.154,-0.00865,0.0393,-0.758,0.731,0.415
19.071784402597693,0.497,4.077173469197005,0.154,-0.00865,0.0393,-0.758,0.731,0.415
30.451675580814477,0.497,4.3597453965246675,0.154,-0.00865,0.0393,-0.758,0.731,0.415
17.26485784055665,0.497,3.688523654490709,0.154,-0.00865,0.0393,-0.758,0.731,0.415
17.06881076807156,0.497,4.416016026511788,0.154,-0.00865,0.0393,-0.758,0.731,0.415
32.30219786763191,0.497,3.6326267639547587,0.154,-0.00865,0.0393,-0.758,0.731,0.415
19.27292682865634,0.497,4.79030213272199,0.154,-0.00865,0.0393,-0.758,0.731,0.415
