5.299532504175030745e-03,1.357622970587708811e-02
2.771248846338369987e-02,3.112676196932372824e-02
6.718439880608412240e-02,4.757925584124630264e-02
1.222977958224985007e-01,6.231448562776703559e-02
1.910618777986781147e-01,7.479799440828835411e-02
2.709916111713863152e-01,8.457825969750132344e-02
3.591982246103705423e-01,9.130170752246181964e-02
4.524937450811812867e-01,9.472530522753432047e-02
5.475062549188187688e-01,9.472530522753432047e-02
6.408017753896294577e-01,9.130170752246181964e-02
7.290083888286136293e-01,8.457825969750132344e-02
8.089381222013218853e-01,7.479799440828835411e-02
8.777022041775015548e-01,6.231448562776703559e-02
9.328156011939159331e-01,4.757925584124630264e-02
9.722875115366163001e-01,3.112676196932372824e-02
9.947004674958249693e-01,1.357622970587708811e-02
